기간,국가별,한국여행중서울방문,명동,동대문시장,남대문시장,고궁,남산/N서울타워,인사동,박물관(기념관),잠실(롯데월드),신촌/홍대주변,강남역
2015,전체,78.7,77.1,60.3,29,44.3,40.7,25.8,26.7,23.4,29.1,23.1
2015,일본,68,72.1,42.7,28.4,14.2,8.8,20.9,4.9,8.7,22.5,24.4
2015,중국,76.2,90.9,69,22.8,45.9,50,20.9,27.1,32.4,32.8,17.1
2015,홍콩,89.6,85.3,67.8,26,28,35.7,26.5,18.1,18.5,41.2,18.5
2015,싱가포르,91.7,77.8,63.5,37.2,48.5,38.8,36.7,27.5,19.8,38.1,34.6
2015,대만,86.3,85.6,80.1,28.1,33.3,44,24.5,14.5,33.4,39.2,12.1
2015,태국,88.1,81,66.3,45.4,66.3,51.9,28.6,26.2,12.2,25.2,24.8
2015,말레이시아,88.5,85.2,77.1,67.3,63.2,64,40.6,40.3,25.9,35.4,24.4
2015,호주,82.3,44.8,31.1,29.3,55.2,32.5,35,37.6,14.8,26.4,36.9
2015,미국,85.3,39.4,33.5,30,57.2,32.9,36.2,40.8,15.2,23.7,38.3
2015,캐나다,89.9,46.2,37.5,35.7,64.4,37.1,45.3,43.4,10.7,23.6,34.1
2015,영국,87.4,40.6,36.8,28.3,57.8,38.9,37.2,39.3,13.6,25.8,41.8
2015,독일,79.1,34,31.2,32.1,51.1,35.5,31.1,31.8,12.7,20.4,40.3
2015,프랑스,90.8,43.2,35.8,35.6,63.2,49.3,47.9,42.2,18.9,33.6,52
2015,러시아,81.3,50.8,40.2,34.5,51.9,31.2,26.4,31.1,19.5,13.9,33.6
2015,중동,85.9,34.8,63.1,32.6,37.1,26,18.3,27.3,12,9.7,26.1
2015,인도,75.3,38.3,41.5,45.1,43.7,36.2,25.8,35.6,14.1,11.5,34.9
2015,기타,85.9,62.8,59,42.6,65.2,44.3,37,46.2,15.6,19.3,33.9
