기간	국가별	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	국가별	한국여행중 서울방문	명동	동대문시장	남대문시장	고궁	남산/N서울타워	인사동	박물관(기념관)	잠실(롯데월드)	신촌/홍대주변	강남역
2013	전체	80.9	72.8	56.6	32.8	39.1	31.6	29.4	25.2	30	24.2	21.6
2013	일본	75	79.9	45.3	37.4	17.3	12.7	27.9	9.2	11.1	16.3	10.3
2013	중국	79.3	79.9	65.9	25.2	42.2	35.7	24	27.7	44.9	28.1	16.5
2013	홍콩	96.7	85.6	64.6	34	25.9	28.4	31.7	20.2	28.8	37.9	23.8
2013	싱가포르	93.2	80.4	71.7	45.5	51.1	33.8	42	29.5	40	32	25
2013	대만	94.9	86.2	86	22.1	29.3	41.8	18.8	22.1	41.6	36.8	13.9
2013	태국	97.5	74	77.2	57.1	75.6	61.5	28.4	38.2	18.5	18.1	19
2013	말레이시아	96.2	77.1	74.2	62.4	64.4	49.6	40.1	43.9	37.6	23.7	44.9
2013	호주	82.7	39.4	30.1	25.9	45.8	26.7	39.7	30	20.3	22.2	34
2013	미국	82.2	42.5	35.6	30.2	52.7	35.1	42	42.8	22.6	22.7	51.1
2013	캐나다	82.2	54.2	43.9	42.5	62.8	40.6	52.3	43.8	27	26.4	50.8
2013	영국	71.8	34.4	27.7	25	50.1	31.9	37.5	33.5	15.4	17.3	34.4
2013	독일	71.5	38.2	33.9	32.4	56.1	35.9	38	29.2	14.7	20.6	30.7
2013	프랑스	80.4	47.6	30.8	30.5	54.9	36.5	43.2	32.7	18.2	25.6	36.4
2013	러시아	89.1	49.2	46.5	41.7	60.4	41.8	37.5	33.4	44.8	11.9	35.4
2013	중동	82.7	44.2	58.3	40.5	49.8	30.1	34.8	25.5	23.6	12.2	37
2013	인도	81.1	35	40.4	45.4	45.2	41.7	28.6	36	32.6	16.1	47
2013	기타	78	50.4	36.8	38.2	55.5	38.9	39.7	34.2	24.1	20.8	38.7
