기간	국가별	한국여행중 서울방문	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지	서울 내 방문지
기간	국가별	한국여행중 서울방문	명동	동대문시장	남대문시장	고궁	남산/N서울타워	인사동	박물관(기념관)	잠실(롯데월드)	신촌/홍대주변	강남역
2014	전체	80.4	77.6	61.9	27.8	43.5	42.5	30.3	21.9	23.6	29.9	22.9
2014	일본	70.9	76.7	44.9	30.8	14	9.6	24.3	4.8	3.2	18.2	19.3
2014	중국	77.8	76.7	73.7	19.5	45.9	53.7	28.9	20.8	36.3	38.6	19
2014	홍콩	97.9	85.4	66	38.7	41.9	43.9	36	25.1	15.3	34.5	20.1
2014	싱가포르	95.1	79.7	66.8	39.1	51.2	40.3	38.1	29.3	24.2	26.9	30.2
2014	대만	95.7	86.9	81.4	30.8	40.8	49.5	27.7	18	37.7	39.3	13.9
2014	태국	98.7	90.5	80.5	47	78.4	60.7	35.1	32.7	11.2	14.3	17.1
2014	말레이시아	96.5	83.1	76.1	57.1	61.6	56.5	42.8	41.3	24.8	27.7	24.8
2014	호주	82.9	49.7	34.2	21.8	51.9	39.6	31.7	30.9	14.9	21.7	39.7
2014	미국	82.8	42.8	34.2	26.6	53	36.2	36.5	33.1	12.2	23.2	40
2014	캐나다	83.5	47.1	39.9	35.8	61.5	33	39.7	37.9	11.5	22.7	29.8
2014	영국	79.4	35.5	23.5	16.2	47.2	39.5	25.8	26.3	11.1	20.3	43.9
2014	독일	79.4	38.1	30	22.6	59.8	34.6	32.1	33.3	11.2	16.6	36.6
2014	프랑스	83.6	41.1	29.9	27.1	48.5	32	35.4	31.5	12.7	22.3	43.6
2014	러시아	85.4	52.3	42.4	39.6	59.2	41.1	33.8	30.7	33.6	9.9	32.5
2014	중동	90	19	75.4	27.5	18.5	12.8	12.6	11.6	4.8	5.8	15.6
2014	인도	71.6	39.4	39	36.6	46.4	32	26.2	28.7	11.6	15.4	34.1
2014	기타	79.2	50.9	39	36.8	57.1	42.2	37	36.9	12.7	22.2	39.1
